repeat,test_id,system,retrieval_latency_s,generation_latency_s,total_latency_s,prompt_tokens,completion_tokens,total_tokens,answer_chars,approx_prompt_tokens,approx_completion_tokens
1,1,Direct,0.0,2.231,2.231,54,46,100,80,13,40
1,1,Basic_RAG,0.4854,1.0407,1.526,446,21,467,38,245,19
1,2,Direct,0.0,8.7239,8.7239,46,180,226,333,10,167
1,2,Basic_RAG,0.3367,3.1295,3.4662,469,64,533,104,269,52
1,3,Direct,0.0,6.2638,6.2638,53,129,182,230,14,115
1,3,Basic_RAG,1.805,1.8178,3.6228,522,36,558,58,323,29
1,4,Direct,0.0,13.6177,13.6177,53,281,334,499,15,250
1,4,Basic_RAG,2.8681,2.9103,5.7784,467,57,524,93,278,47
1,5,Direct,0.0,8.0505,8.0505,50,166,216,291,13,146
1,5,Basic_RAG,0.537,2.4249,2.9619,506,47,553,77,294,39
1,6,Direct,0.0,7.5686,7.5686,56,156,212,257,16,129
1,6,Basic_RAG,1.5024,2.2883,3.7907,510,44,554,65,268,33
1,7,Direct,0.0,7.6161,7.6161,52,157,209,269,15,135
1,7,Basic_RAG,1.5791,1.8652,3.4443,527,37,564,61,304,31
1,8,Direct,0.0,8.8271,8.8271,54,182,236,299,13,150
1,8,Basic_RAG,1.1186,3.4608,4.5793,584,68,652,107,337,54
1,9,Direct,0.0,24.8001,24.8001,56,512,568,831,16,416
1,9,Basic_RAG,0.5275,4.1508,4.6783,751,83,834,118,434,59
1,10,Direct,0.0,16.5712,16.5712,52,342,394,575,15,288
1,10,Basic_RAG,0.5788,2.7662,3.3449,622,55,677,78,360,39
1,11,Direct,0.0,10.5674,10.5674,52,218,270,368,13,184
1,11,Basic_RAG,0.4532,5.1242,5.5775,743,103,846,163,450,82
1,12,Direct,0.0,8.1992,8.1992,56,169,225,295,17,148
1,12,Basic_RAG,0.3778,1.9589,2.3367,497,39,536,65,276,33
1,13,Direct,0.0,2.5964,2.5964,61,53,114,83,17,42
1,13,Basic_RAG,0.3423,1.4264,1.7687,549,28,577,35,275,18
1,14,Direct,0.0,9.7462,9.7462,52,201,253,333,12,167
1,14,Basic_RAG,0.4208,4.4941,4.9149,847,90,937,158,779,79
1,15,Direct,0.0,11.875,11.875,56,245,301,397,16,199
1,15,Basic_RAG,1.0269,8.4755,9.5024,670,172,842,265,393,133
1,16,Direct,0.0,10.7133,10.7133,49,221,270,377,11,189
1,16,Basic_RAG,1.5068,4.1071,5.6139,535,83,618,136,309,68
1,17,Direct,0.0,15.4536,15.4536,51,319,370,489,13,245
1,17,Basic_RAG,0.9394,9.5021,10.4415,686,193,879,253,382,127
1,18,Direct,0.0,9.2101,9.2101,49,190,239,345,11,173
1,18,Basic_RAG,0.8891,2.3171,3.2062,621,44,665,71,359,36
1,19,Direct,0.0,8.8762,8.8762,53,183,236,338,17,169
1,19,Basic_RAG,0.6967,1.7166,2.4133,507,34,541,62,308,31
1,20,Direct,0.0,2.8858,2.8858,48,59,107,95,10,48
1,20,Basic_RAG,0.3878,0.4025,0.7903,504,7,511,11,293,6
1,21,Direct,0.0,2.4045,2.4045,50,49,99,79,11,40
1,21,Basic_RAG,0.6057,0.5112,1.1169,670,7,677,11,395,6
1,22,Direct,0.0,10.325,10.325,48,213,261,349,10,175
1,22,Basic_RAG,0.2573,8.8952,9.1526,627,179,806,284,364,142
1,23,Direct,0.0,2.9334,2.9334,50,60,110,96,12,48
1,23,Basic_RAG,0.5517,0.8985,1.4502,585,17,602,24,341,12
1,24,Direct,0.0,9.1161,9.1161,51,188,239,338,12,169
1,24,Basic_RAG,0.4947,2.39,2.8847,566,46,612,64,316,32
1,25,Direct,0.0,5.1018,5.1018,48,105,153,180,12,90
1,25,Basic_RAG,0.3058,0.5122,0.818,618,7,625,11,366,6
1,26,Direct,0.0,11.0011,11.0011,49,227,276,411,12,206
1,26,Basic_RAG,0.3726,0.4426,0.8152,738,7,745,11,474,6
1,27,Direct,0.0,4.5739,4.5739,56,94,150,167,17,84
1,27,Basic_RAG,0.3894,1.3658,1.7552,586,25,611,43,354,22
1,28,Direct,0.0,13.9541,13.9541,49,288,337,542,13,271
1,28,Basic_RAG,0.3758,3.2161,3.5918,497,63,560,113,300,57
1,29,Direct,0.0,2.2102,2.2102,44,45,89,105,10,53
1,29,Basic_RAG,0.2702,1.164,1.4342,471,21,492,50,302,25
1,30,Direct,0.0,6.7003,6.7003,56,138,194,234,16,117
1,30,Basic_RAG,0.2347,0.4828,0.7174,501,7,508,11,288,6
